metric,value
efectividad.score,0.8000000000000002
efectividad.hit_ratio,1.0
efectividad.success_rate,0.8333333333333334
efectividad.learning_curve_mean,1.0
efectividad.progression,5
efectividad.success_after_restart,0.0
eficiencia.score,0.7000000000000001
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,718.24167575
eficiencia.time_per_success_s,14111.617181818181
eficiencia.navigation_errors,10
satisfaccion.score,0.5
satisfaccion.learning_stability,1.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,0.0
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.163884558037365
presencia.activity_level_per_min,0.8507497327041101
presencia.first_success_time_s,22.539
presencia.inactivity_time_s,155091.81
presencia.audio_performance_gain,0.0
global_score,0.5409711395093413
